n;ins1_a;ins1_c;ins2_a;ins2_c;mer1_a;mer1_c;mer2_a;mer2_c;heap1_a;heap1_c;heap2_a;heap2_c
6271;19739004;9866367;19740562;13222462;282696;92143;186584;144810;549633;328557;433426;283405
6272;19742489;9868109;19744047;13226592;282745;92159;186608;144811;550039;328783;433764;283632
6273;19757384;9875556;19758944;13237610;282794;92175;186632;144943;549564;328482;433680;283539
6274;19760423;9877075;19761983;13238003;282843;92191;186656;144877;549468;328464;433202;283214
6275;19761154;9877440;19762714;13241026;282892;92207;186680;144897;549991;328759;433236;283215
6276;19767225;9880475;19768785;13243987;282941;92223;186704;144962;550221;328890;433590;283527
6277;19799492;9896608;19801059;13107714;282990;92239;186728;145015;550395;329016;433265;283364
6278;19815275;9904499;19816840;13111922;283039;92255;186752;145026;550255;328942;433498;283444
6279;19824322;9909022;19825888;13117610;283088;92271;186776;145059;550718;329201;433388;283361
6280;19827525;9910623;19829089;13115748;283137;92287;186800;145077;550452;329070;433432;283438
6281;19834782;9914251;19836348;13120904;283186;92303;186824;145103;550573;329134;433345;283345
6282;19837149;9915434;19838716;13120542;283235;92319;186848;145102;550333;328966;433077;283200
6283;19839902;9916810;19841469;13124200;283284;92335;186872;145091;551157;329484;433938;283734
6284;19838403;9916060;19839969;13122425;283333;92351;186896;145162;551113;329461;433789;283651
6285;19849558;9921637;19851127;13128208;283382;92367;186920;145176;551086;329437;433531;283456
6286;19858713;9926214;19860281;13134878;283431;92383;186944;145142;551544;329682;433618;283516
6287;19870510;9932112;19872079;13142894;283480;92399;186968;145212;551584;329737;433927;283723
6288;19869115;9931414;19870683;13148529;283529;92415;186992;145241;551622;329718;433930;283717
6289;19870960;9932336;19872528;13151510;283578;92431;187016;145276;551836;329869;434255;283997
6290;19812779;9903245;19814347;13154376;283627;92447;187040;145308;551901;329904;434267;283967
6291;19824478;9909094;19826047;13161592;283676;92463;187064;145319;552115;330055;434934;284439
6292;19833347;9913528;19834915;13165424;283725;92479;187088;145295;551740;329830;434632;284206
6293;19840204;9916956;19841773;13170106;283774;92495;187112;145348;551866;329875;434923;284425
6294;19843293;9918500;19844863;13172495;283823;92511;187136;145347;551817;329892;434590;284218
6295;19848876;9921291;19850444;13182096;283872;92527;187160;145422;551867;329900;435098;284489
6296;19858035;9925870;19859602;13186600;283921;92543;187184;145446;552361;330184;435012;284415
6297;19869458;9931581;19871025;13193402;283970;92559;187208;145471;552251;330134;435074;284465
6298;19884217;9938960;19885786;13199859;284019;92575;187232;145448;552929;330533;435045;284490
6299;19880714;9937208;19882283;13207484;284068;92591;187256;145458;553081;330646;435533;284819
6300;19880397;9937049;19881966;13209024;284117;92607;187280;145486;552725;330425;435056;284474
6301;19892906;9943303;19894477;13218546;284166;92623;187304;145524;552463;330289;435006;284433
6302;20153805;10073752;20155407;13327380;284215;92639;187328;145536;552473;330251;435390;284673
6303;20154368;10074033;20155972;13327332;284264;92655;187352;145527;552575;330314;435188;284564
6304;20156785;10075241;20158389;13328534;284313;92671;187376;145539;552438;330219;435696;284862
6305;20157866;10075781;20159470;13329704;284362;92687;187400;145586;552639;330339;435559;284803
6306;20171711;10082703;20173315;13336564;284411;92703;187424;145668;553032;330582;435365;284705
6307;20172000;10082847;20173606;13340836;284460;92719;187448;145647;552772;330427;435907;285052
6308;20182037;10087865;20183645;13344840;284509;92735;187472;145675;553009;330544;435240;284583
6309;20184666;10089179;20186274;13347296;284558;92751;187496;145680;553192;330661;435527;284798
6310;20204437;10099064;20206047;13360101;284607;92767;187520;145768;553083;330630;435804;284973
6311;20214524;10104107;20216134;13365254;284656;92783;187544;145745;553334;330779;436075;285160
6312;20215669;10104679;20217279;13365856;284705;92799;187568;145828;553163;330662;436181;285203
6313;20216918;10105303;20218529;13367290;284754;92815;187592;145840;553261;330730;436040;285101
6314;19836647;9915167;19838225;13253530;284803;92831;187616;145867;554589;331527;436451;285452
6315;19841710;9917698;19843289;13258288;284852;92847;187640;145805;554284;331336;436717;285643
6316;19851089;9922387;19852668;13262995;284901;92863;187664;145799;554520;331482;436880;285746
6317;19852112;9922898;19853692;13267474;284950;92879;187688;145843;554474;331436;436805;285635
6318;19861493;9927588;19863073;13272127;284999;92895;187712;145884;554451;331431;436856;285698
6319;19865500;9929591;19867080;13276740;285048;92911;187736;145937;554508;331512;436990;285772
6320;19881339;9937510;19882920;13285334;285097;92927;187760;145921;555120;331851;437370;286050
6321;19884396;9939038;19885979;13288880;285146;92943;187784;145972;555064;331792;437022;285759
6322;19887959;9940819;19889542;13288706;285195;92959;187808;145989;554754;331626;437271;285942
6323;19889928;9941803;19891512;13290310;285244;92975;187832;145967;554694;331563;437524;286078
6324;19889797;9941737;19891380;13292845;285293;92991;187856;145978;555247;331918;437502;286098
6325;19912056;9952866;19913640;13304330;285342;93007;187880;146100;555397;332005;436801;285661
6326;19919733;9956704;19921317;13308214;285391;93023;187904;146057;555439;332038;437173;285856
6327;19723042;9858358;19724614;13194028;285440;93039;187928;146091;554994;331734;437061;285756
6328;19726215;9859944;19727787;13195562;285489;93055;187952;146140;555212;331868;437521;286081
6329;19730674;9862173;19732248;13198314;285538;93071;187976;146137;555464;332039;436849;285652
6330;19748981;9871326;19750557;13206851;285587;93087;188000;146118;555504;332034;437566;286162
6331;19760518;9877094;19762095;13214182;285636;93103;188024;146143;556011;332331;437533;286066
6332;19765405;9879537;19766982;13216549;285685;93119;188048;146151;555474;332016;437280;285900
6333;19766722;9880195;19768298;13219800;285734;93135;188072;146201;556034;332342;437475;286038
6334;19759205;9876436;19760780;13216430;285783;93151;188096;146256;555954;332301;437395;285973
6335;19775012;9884339;19776586;13228944;285832;93167;188120;146260;556685;332747;438111;286476
6336;19774317;9883991;19775890;13230778;285881;93183;188144;146261;555907;332263;437977;286303
6337;19790442;9892053;19792015;13244576;285930;93199;188168;146288;556397;332528;438131;286421
6338;19798965;9896314;19800536;13249281;285979;93215;188192;146338;556804;332803;437725;286180
6339;19966898;9980280;19968498;13362882;286028;93231;188216;146386;556804;332827;438602;286787
6340;19980893;9987277;19982493;13369553;286077;93247;188240;146408;557000;332951;439084;287152
6341;19989334;9991497;19990933;13373934;286126;93263;188264;146454;556938;332907;439378;287347
6342;19984247;9988953;19985845;13370835;286175;93279;188288;146519;556795;332815;439120;287092
6343;19996288;9994973;19997885;13376390;286224;93295;188312;146508;556944;332895;439124;287168
6344;20003237;9998447;20004833;13380048;286273;93311;188336;146540;557383;333184;439325;287276
6345;20021474;10007565;20023070;13391682;286322;93327;188360;146495;556905;332895;438991;287077
6346;20028269;10010962;20029865;13395063;286371;93343;188384;146544;557775;333396;439650;287481
6347;20039114;10016384;20040710;13399752;286420;93359;188408;146500;557302;333136;439349;287288
6348;20044457;10019055;20046055;13405113;286469;93375;188432;146549;557731;333379;439306;287245
6349;20047288;10020470;20048885;13405422;286518;93391;188456;146602;557558;333296;439502;287363
6350;20040943;10017297;20042538;13406283;286567;93407;188480;146595;557157;333108;439407;287310
6351;20266432;10130041;20268027;13482452;286616;93423;188504;146661;557472;333234;439530;287364
6352;20271491;10132570;20273086;13482587;286665;93439;188528;146643;557653;333373;440089;287728
6353;20281556;10137602;20283153;13492506;286714;93455;188552;146705;557716;333403;439765;287500
6354;20293235;10143441;20294833;13498270;286763;93471;188576;146624;558011;333557;439411;287233
6355;20293880;10143763;20295477;13493040;286812;93487;188600;146622;557948;333536;439806;287565
6356;20297465;10145555;20299063;13495235;286861;93503;188624;146703;557933;333518;439989;287679
6357;20308470;10151057;20310068;13501708;286910;93519;188648;146705;558742;334003;440588;288125
6358;20308913;10151278;20310512;13507097;286959;93535;188672;146742;558402;333816;439975;287647
6359;20320936;10157289;20322536;13516944;287008;93551;188696;146742;558083;333620;439989;287697
6360;20322965;10158303;20324565;13517372;287057;93567;188720;146769;558386;333818;440077;287725
6361;20328018;10160829;20329621;13523418;287106;93583;188744;146785;558378;333807;440180;287801
6362;20316725;10155182;20318328;13511590;287155;93599;188768;146836;558406;333829;440443;287971
6363;20316968;10155303;20318571;13517330;287204;93615;188792;146866;558460;333880;440462;287933
6364;20375409;10184523;20376990;13640736;287253;93631;188816;146928;558618;333918;441007;288349
6365;20392878;10193257;20394459;13652782;287302;93647;188840;146915;557849;333434;440344;287899
6366;20392011;10192823;20393593;13655930;287351;93663;188864;147051;558681;333930;440426;287888
6367;20396250;10194942;20397833;13658742;287400;93679;188888;147038;558991;334129;440603;288101
6368;20406967;10200300;20408549;13665405;287449;93695;188912;147073;559086;334179;440756;288143
6369;20418160;10205896;20419743;13674708;287498;93711;188936;147117;558705;333966;441132;288363
6370;20426789;10210210;20428372;13679048;287547;93727;188960;147091;559317;334332;440710;288154
6371;20439262;10216446;20440846;13687260;287596;93743;188984;147087;559456;334462;440968;288322
6372;20435547;10214588;20437130;13690119;287645;93759;189008;147130;559118;334211;441412;288628
6373;20448054;10220841;20449637;13698798;287694;93775;189032;147085;559206;334266;441225;288453
6374;20458525;10226076;20460109;13703340;287743;93791;189056;147113;559674;334521;440885;288245
6375;20466650;10230138;20468234;13709070;287792;93807;189080;147157;558907;334132;441200;288446
6376;20307323;10150474;20308919;13510809;287841;93823;189104;147107;559553;334394;441142;288469
6377;20308894;10151259;20310490;13514356;287890;93839;189128;147119;560244;334842;441881;288977
6378;20313273;10153448;20314869;13516443;287939;93855;189152;147192;559997;334697;441827;288962
6379;20334750;10164186;20336347;13527128;287988;93871;189176;147255;559993;334687;441538;288775
6380;20336559;10165090;20338155;13524487;288037;93887;189200;147300;560070;334737;441340;288625
6381;20347804;10170712;20349400;13534608;288086;93903;189224;147286;560278;334873;441493;288685
6382;20350957;10172288;20352555;13535060;288135;93919;189248;147292;559528;334378;441375;288663
6383;20343784;10168701;20345386;13541532;288184;93935;189272;147315;560667;335124;441717;288861
6384;20355115;10174366;20356718;13548893;288233;93951;189296;147334;560803;335185;441443;288677
6385;20361092;10177354;20362695;13552430;288282;93967;189320;147363;560640;335091;441758;288875
6386;20361791;10177703;20363395;13552716;288331;93983;189344;147419;560900;335222;441774;288912
6387;20371942;10182778;20373545;13560168;288380;93999;189368;147421;560837;335165;441922;289048
6388;20375931;10184772;20377542;13629810;288429;94015;189392;147401;562170;336054;441815;288953
6389;20386354;10189983;20387963;13637286;288478;94031;189416;147428;562256;336119;441776;288881
6390;20395673;10194642;20397283;13649213;288527;94047;189440;147498;561447;335613;441763;288925
6391;20407290;10200450;20408900;13653294;288576;94063;189464;147451;561679;335710;442379;289331
6392;20416229;10204919;20417838;13655391;288625;94079;189488;147531;561804;335823;442490;289364
6393;20417550;10205579;20419158;13659286;288674;94095;189512;147486;562154;336011;442719;289518
6394;20418311;10205959;20419920;13659676;288723;94111;189536;147517;561968;335936;442464;289347
6395;20412066;10202836;20413676;13662952;288772;94127;189560;147554;562247;336116;442762;289561
6396;20415247;10204426;20416857;13664546;288821;94143;189584;147579;562108;336037;442710;289539
6397;20452626;10223115;20454236;13681948;288870;94159;189608;147567;562049;335981;441985;289042
6398;20455367;10224485;20456976;13680756;288919;94175;189632;147581;562240;336121;442722;289527
6399;20462824;10228213;20464435;13681144;288968;94191;189656;147608;562413;336198;442864;289666
6400;20574613;10284107;20576149;13582686;289017;94207;189680;147684;562245;336102;442145;289118
6401;20581832;10287716;20583369;13588012;289066;94223;189704;147704;562162;336013;442704;289512
6402;20594779;10294189;20596315;13594601;289115;94239;189728;147787;562477;336232;442859;289652
6403;20600316;10296957;20601854;13604042;289164;94255;189752;147739;562375;336157;442657;289453
6404;20600375;10296986;20601914;13604082;289213;94271;189776;147745;562279;336103;442548;289392
6405;20611020;10302308;20612561;13614844;289262;94287;189800;147717;562153;336025;442704;289494
6406;20617153;10305374;20618693;13617893;289311;94303;189824;147815;563009;336593;443144;289796
6407;20627134;10310364;20628676;13624830;289360;94319;189848;147807;563008;336568;442769;289526
6408;20634869;10314231;20636413;13625952;289409;94335;189872;147882;563052;336582;443038;289699
6409;20643150;10318371;20644694;13634250;289458;94351;189896;147873;562809;336432;443262;289860
6410;20651401;10322496;20652945;13639286;289507;94367;189920;147862;562789;336427;442891;289597
6411;20671452;10332521;20673001;13649276;289556;94383;189944;147901;562973;336527;443384;289940
6412;20705977;10349783;20707540;13798033;289605;94399;189968;147976;563776;337000;443850;290136
6413;20716632;10355110;20718196;13808550;289654;94415;189992;147971;564374;337319;444605;290681
6414;20734697;10364142;20736261;13817425;289703;94431;190016;147950;564494;337415;444545;290666
6415;20744416;10369001;20745981;13824594;289752;94447;190040;147965;564116;337172;443933;290252
6416;20753147;10373366;20754712;13829301;289801;94463;190064;147945;564465;337419;444128;290363
6417;20761518;10377551;20763086;13832558;289850;94479;190088;148056;564686;337484;444330;290517
6418;20774051;10383817;20775620;13841291;289899;94495;190112;148007;564543;337437;444872;290858
6419;20780058;10386820;20781629;13849158;289948;94511;190136;148058;564608;337484;444913;290806
6420;20790649;10392115;20792221;13853744;289997;94527;190160;148111;564819;337584;445154;291059
6421;20803886;10398733;20805456;13862268;290046;94543;190184;148150;564634;337492;444676;290719
6422;20803825;10398702;20805395;13857112;290095;94559;190208;148159;564963;337686;444914;290852
6423;20820696;10407137;20822265;13867162;290144;94575;190232;148195;565000;337690;444914;290873
6424;20570363;10281970;20571946;13788224;290193;94591;190256;148291;565407;337971;444711;290778
6425;20561254;10277415;20562838;13783320;290242;94607;190280;148304;565212;337827;444811;290887
6426;20563539;10278557;20565123;13784512;290291;94623;190304;148303;565886;338228;445135;291058
6427;20566680;10280127;20568264;13786546;290340;94639;190328;148305;565358;337913;445289;291170
6428;20573321;10283447;20574904;13789889;290389;94655;190352;148332;565388;337931;445265;291212
6429;20578218;10285895;20579801;13795096;290438;94671;190376;148361;565581;338037;445624;291451
6430;20580531;10287051;20582115;13794772;290487;94687;190400;148296;565420;337948;445985;291692
6431;20585750;10289660;20587335;13798946;290536;94703;190424;148323;565723;338119;445893;291531
6432;20600467;10297018;20602053;13807073;290585;94719;190448;148309;565981;338275;446181;291804
6433;20603320;10298444;20604903;13808200;290634;94735;190472;148445;565814;338207;445982;291689
6434;20613383;10303475;20614967;13813246;290683;94751;190496;148467;566552;338630;446229;291834
6435;20613168;10303367;20614752;13812434;290732;94767;190520;148471;566523;338610;446014;291688
6436;20852531;10423048;20854103;13863986;290781;94783;190544;148456;565489;338017;445763;291569
6437;20865966;10429765;20867539;13873324;290830;94799;190568;148489;566136;338409;446495;292040
6438;20872905;10433234;20874477;13878281;290879;94815;190592;148496;566118;338412;447128;292511
6439;20881254;10437408;20882827;13886078;290928;94831;190616;148610;566142;338400;446178;291846
6440;20891015;10442288;20892589;13890947;290977;94847;190640;148598;566544;338655;446462;292043
6441;20882212;10437886;20883785;13886916;291026;94863;190664;148637;565844;338222;446270;291893
6442;20903055;10448307;20904628;13897029;291075;94879;190688;148589;566356;338548;446903;292292
6443;20908024;10450791;20909600;13905896;291124;94895;190712;148623;566816;338822;446786;292259
6444;20899391;10446474;20900965;13900961;291173;94911;190736;148674;566666;338729;446803;292231
6445;20896346;10444951;20897918;13904024;291222;94927;190760;148633;566950;338878;446619;292137
6446;20906193;10449874;20907766;13909015;291271;94943;190784;148658;567361;339139;446891;292331
6447;20914800;10454177;20916372;13917628;291320;94959;190808;148763;566937;338898;446968;292363
6448;20856731;10425142;20858332;13749414;291369;94975;190832;148759;566058;338343;446513;291950
6449;20885216;10439384;20886819;13766148;291418;94991;190856;148754;566344;338521;446393;291884
6450;20893493;10443522;20895096;13770266;291467;95007;190880;148778;565612;338065;446710;292126
6451;20892908;10443229;20894511;13772524;291516;95023;190904;148808;566315;338447;447084;292380
6452;20887003;10440276;20888605;13767674;291565;95039;190928;148839;566507;338612;446750;292085
6453;20893438;10443493;20895043;13777800;291614;95055;190952;148835;566460;338607;447005;292343
6454;20903349;10448448;20904955;13783575;291663;95071;190976;148868;566334;338508;447177;292395
6455;20910426;10451986;20912033;13789808;291712;95087;191000;148871;566236;338425;446885;292259
6456;20911403;10452474;20913011;13793167;291761;95103;191024;148950;566643;338664;447323;292505
6457;20920396;10456970;20922005;13799634;291810;95119;191048;148963;566959;338851;447553;292672
6458;20942547;10468045;20944156;13810401;291859;95135;191072;149021;567015;338922;447016;292318
6459;20945744;10469643;20947352;13816078;291908;95151;191096;149077;566932;338857;447447;292611
6460;20942973;10468257;20944605;13989359;291957;95167;191120;149038;568168;339607;447462;292548
6461;20940972;10467256;20942605;13983242;292006;95183;191144;149118;568566;339828;447462;292521
6462;20960843;10477191;20962477;13993133;292055;95199;191168;149085;568285;339691;447431;292529
6463;20961248;10477393;20962882;13996782;292104;95215;191192;149148;568706;339935;447681;292689
6464;20976973;10485255;20978609;14004526;292153;95231;191216;149149;568708;339907;448082;292880
6465;20989122;10491329;20990758;14013546;292202;95247;191240;149158;568900;340051;447936;292860
6466;21000051;10496793;21001686;14014084;292251;95263;191264;149178;568616;339863;447923;292850
6467;21008886;10501210;21010520;14023372;292300;95279;191288;149179;568720;339940;448324;293134
6468;21008079;10500806;21009713;14019416;292349;95295;191312;149222;569337;340284;448513;293248
6469;21032204;10512868;21033838;14034704;292398;95311;191336;149279;568926;340041;448740;293379
6470;21022679;10508105;21024311;14028111;292447;95327;191360;149295;569088;340146;448514;293249
6471;21028184;10510857;21029818;14032304;292496;95343;191384;149302;569332;340267;448443;293166
6472;21156493;10575011;21158083;14023261;292545;95359;191408;149305;569274;340278;448816;293551
6473;21164678;10579103;21166268;14029708;292594;95375;191432;149361;569502;340422;449213;293813
6474;21166549;10580038;21168139;14030513;292643;95391;191456;149339;569283;340275;449424;293946
6475;21175752;10584639;21177343;14038502;292692;95407;191480;149358;569386;340342;448950;293613
6476;21183047;10588286;21184641;14038041;292741;95423;191504;149331;569475;340425;449326;293836
6477;21194224;10593874;21195816;14052284;292790;95439;191528;149421;569295;340308;449308;293824
6478;21195437;10594480;21197028;14049959;292839;95455;191552;149430;569701;340528;449495;293990
6479;21200834;10597178;21202426;14053064;292888;95471;191576;149425;569811;340578;449164;293719
6480;21199505;10596513;21201099;14048763;292937;95487;191600;149472;569957;340685;449864;294194
6481;21191828;10592674;21193423;14045198;292986;95503;191624;149489;570305;340871;449398;293893
6482;21197535;10595527;21199130;14049837;293035;95519;191648;149537;570389;340970;449277;293835
6483;21195488;10594503;21197083;14053888;293084;95535;191672;149572;570155;340790;449805;294192
6484;20895019;10444268;20896609;13909762;293133;95551;191696;149509;570772;341173;449812;294151
6485;20908606;10451061;20910196;13914844;293182;95567;191720;149512;571247;341465;450465;294606
6486;20894545;10444030;20896135;13917532;293231;95583;191744;149564;571067;341381;450129;294381
6487;20911902;10452708;20913494;13930104;293280;95599;191768;149623;571089;341388;450222;294393
6488;20916977;10455245;20918568;13929655;293329;95615;191792;149608;571443;341562;450284;294467
6489;20931080;10462296;20932672;13938824;293378;95631;191816;149640;571475;341603;449921;294251
6490;20931465;10462488;20933057;13939034;293427;95647;191840;149674;571772;341765;450831;294843
6491;20951256;10472383;20952848;13953904;293476;95663;191864;149700;571424;341567;450733;294724
6492;20955349;10474429;20956941;13955922;293525;95679;191888;149717;572198;342026;451139;295016
6493;20959026;10476267;20960618;13957944;293574;95695;191912;149794;571642;341686;450472;294592
6494;20974563;10484035;20976153;13968557;293623;95711;191936;149804;571828;341839;450866;294872
6495;21067338;10530422;21068992;13970700;293672;95727;191960;149847;571895;341780;450690;294687
6496;21073679;10533592;21075332;13972861;293721;95743;191984;149876;571815;341769;450997;294883
6497;21075446;10534475;21077100;13973790;293770;95759;192008;149879;572707;342277;450545;294581
6498;21075837;10534670;21077490;13972400;293819;95775;192032;149901;572404;342112;450840;294834
6499;21096178;10544840;21097833;13984162;293868;95791;192056;149956;572878;342397;450881;294818
6500;21101653;10547577;21103307;13991350;293917;95807;192080;149929;572372;342071;450979;294877
6501;21107660;10550580;21109313;14001026;293966;95823;192104;149939;573455;342731;450995;294887
6502;21116011;10554755;21117663;14005252;294015;95839;192128;150031;572688;342282;451311;295080
6503;21129592;10561545;21131243;14011804;294064;95855;192152;150033;573058;342499;451210;294988
6504;21141475;10567486;21143127;14017704;294113;95871;192176;150022;573283;342649;450968;294857
6505;21141578;10567537;21143230;14023702;294162;95887;192200;150060;572728;342289;451421;295178
6506;21162243;10577869;21163896;14034144;294211;95903;192224;150085;573464;342725;451451;295196
6507;21161592;10577543;21163259;14074992;294260;95919;192248;150095;573092;342605;451308;295122
6508;21175521;10584507;21177186;14082796;294309;95935;192272;150129;572840;342416;451637;295307
6509;21179068;10586280;21180733;14085004;294358;95951;192296;150153;573208;342652;451008;294918
6510;21180961;10587226;21182627;14086366;294407;95967;192320;150175;573050;342551;451393;295204
6511;21191492;10592491;21193158;14094296;294456;95983;192344;150166;572958;342456;451561;295315
6512;21180557;10587023;21182222;14090227;294505;95999;192368;150180;573551;342815;451683;295374
6513;21171548;10582518;21173216;14084116;294554;96015;192392;150164;573835;343009;451948;295558
6514;21168445;10580966;21170111;14086880;294603;96031;192416;150296;573638;342905;451820;295448
6515;21158672;10576079;21160339;14078400;294652;96047;192440;150248;573659;342902;452125;295636
6516;21174849;10584167;21176515;14084770;294701;96063;192464;150293;573399;342759;452431;295840
6517;21179492;10586488;21181158;14090616;294750;96079;192488;150347;573642;342885;452511;295854
6518;21177779;10585631;21179446;14086452;294799;96095;192512;150367;573624;342879;452480;295865
6519;21286056;10639769;21287732;14164800;294848;96111;192536;150363;574091;343163;451743;295416
6520;21304289;10648885;21305964;14173461;294897;96127;192560;150379;573876;343047;451665;295344
6521;21316854;10655167;21318530;14180660;294946;96143;192584;150382;573919;343069;452782;296077
6522;21314671;10654075;21316348;14175867;294995;96159;192608;150444;574280;343283;451947;295500
6523;21316718;10655098;21318394;14177984;295044;96175;192632;150453;574529;343460;452041;295579
6524;21327803;10660640;21329480;14183515;295093;96191;192656;150446;574172;343244;452554;295945
6525;21336522;10664999;21338201;14189266;295142;96207;192680;150466;574824;343602;452795;296105
6526;21368631;10681053;21370310;14205487;295191;96223;192704;150498;574292;343310;452500;295927
6527;21369972;10681723;21371652;14210286;295240;96239;192728;150547;574927;343666;452743;296095
6528;21375315;10684394;21376996;14209122;295289;96255;192752;150616;574561;343420;452522;295949
6529;21374910;10684191;21376590;14213726;295338;96271;192776;150649;574771;343576;452638;295996
6530;21612351;10802911;21614036;14396154;295387;96287;192800;150617;575345;343904;452999;296276
6531;21614886;10804178;21616571;14399452;295436;96303;192824;150671;575209;343810;453052;296203
6532;21607841;10800655;21609525;14395040;295485;96319;192848;150695;574980;343713;453538;296572
6533;21608322;10800895;21610007;14397990;295534;96335;192872;150679;575472;343989;453366;296466
6534;21610067;10801767;21611752;14398710;295583;96351;192896;150690;575286;343866;453305;296411
6535;21625258;10809362;21626944;14410470;295632;96367;192920;150753;575753;344132;453477;296544
6536;21635641;10814553;21637326;14414257;295681;96383;192944;150748;575945;344270;453391;296464
6537;21636944;10815204;21638629;14410208;295730;96399;192968;150759;575700;344154;453544;296593
6538;21641985;10817724;21643673;14415114;295779;96415;192992;150742;575607;344055;453765;296724
6539;21663598;10828530;21665288;14428296;295828;96431;193016;150757;575520;344013;453437;296510
6540;21669469;10831465;21671160;14430859;295877;96447;193040;150829;575739;344139;453856;296770
6541;21677832;10835646;21679523;14439064;295926;96463;193064;150822;575520;343980;453618;296628
6542;21423241;10708350;21424923;14296940;295975;96479;193088;150828;577458;345156;454326;297087
6543;21421410;10707434;21423093;14298584;296024;96495;193112;150891;576903;344802;454505;297227
6544;21421015;10707236;21422700;14302185;296073;96511;193136;150898;577087;344917;454933;297511
6545;21440684;10717070;21442370;14312580;296122;96527;193160;150916;577886;345407;454970;297542
6546;21425489;10709472;21427173;14303885;296171;96543;193184;150917;577512;345189;454766;297428
6547;21429540;10711497;21431224;14307098;296220;96559;193208;150957;577125;344943;454937;297503
6548;21430959;10712206;21432643;14307678;296269;96575;193232;150959;577436;345104;454953;297498
6549;21425272;10709362;21426959;14298008;296318;96591;193256;151005;577052;344909;455151;297672
6550;21430783;10712117;21432470;14302423;296367;96607;193280;150980;577751;345308;455403;297801
6551;21428620;10711035;21430307;14308248;296416;96623;193304;151002;577804;345337;454962;297540
6552;21437383;10715416;21439070;14312673;296465;96639;193328;151016;577922;345395;455432;297818
6553;21297896;10645672;21299524;14199542;296514;96655;193352;151083;578194;345589;454602;297315
6554;21306603;10650025;21308228;14212553;296563;96671;193376;151152;577936;345436;454522;297256
6555;21324858;10659152;21326484;14220708;296612;96687;193400;151144;577714;345292;453744;296760
6556;21331941;10662693;21333567;14224229;296661;96703;193424;151239;577801;345355;454797;297405
6557;21339012;10666228;21340638;14227860;296710;96719;193448;151250;578227;345637;454626;297273
6558;21348459;10670951;21350085;14232632;296759;96735;193472;151245;578009;345518;454973;297560
6559;21362908;10678175;21364536;14242784;296808;96751;193496;151195;578545;345817;455363;297881
6560;21387321;10690381;21388950;14253102;296857;96767;193520;151241;578432;345764;455026;297565
6561;21387210;10690325;21388837;14258112;296906;96783;193544;151254;578298;345663;455207;297638
6562;21399901;10696670;21401528;14262753;296955;96799;193585;151283;578680;345904;455211;297675
6563;21415454;10704446;21417083;14277080;297004;96815;193626;151364;578864;345992;455361;297759
6564;21418403;10705920;21420032;14278606;297053;96831;193667;151395;578894;346031;455249;297707
6565;21556782;10775109;21558416;14410862;297102;96847;193708;151452;579257;346214;455900;298160
6566;21564415;10778925;21566049;14414660;297151;96863;193749;151443;578789;345947;456394;298435
6567;21569570;10781502;21571203;14415418;297200;96879;193790;151503;579078;346140;455903;298139
6568;21583183;10788308;21584814;14425618;297249;96895;193831;151493;579160;346168;456489;298509
6569;21573754;10783593;21575385;14423600;297298;96911;193872;151526;579598;346387;456705;298665
6570;21587877;10790654;21589510;14434176;297347;96927;193913;151562;579613;346435;456205;298333
6571;21588308;10790869;21589941;14438332;297396;96943;193954;151630;579715;346495;456450;298515
6572;21618587;10806008;21620220;14453263;297445;96959;193995;151636;579672;346425;456798;298728
6573;21620482;10806955;21622117;14456998;297494;96975;194036;151627;580228;346780;457009;298879
6574;21629883;10811655;21631518;14461629;297543;96991;194077;151737;580203;346764;456827;298727
6575;21645050;10819238;21646686;14473076;297592;97007;194118;151724;579915;346602;456909;298815
6576;21650569;10821997;21652205;14475725;297641;97023;194159;151762;580326;346839;457008;298908
6577;21739494;10866459;21741094;14461192;297690;97039;194200;151755;579492;346407;455753;298106
6578;21751153;10872288;21752752;14467006;297739;97055;194241;151734;579536;346385;457193;298994
6579;21751992;10872707;21753590;14472804;297788;97071;194282;151815;579587;346454;456557;298574
6580;21758819;10876120;21760418;14472717;297837;97087;194323;151824;580122;346758;456801;298755
6581;21763344;10878382;21764944;14476820;297886;97103;194364;151879;580191;346800;456818;298811
6582;21761855;10877637;21763455;14473990;297935;97119;194405;151894;579879;346596;456596;298646
6583;21772226;10882822;21773827;14474796;297984;97135;194446;151913;579762;346536;456619;298663
6584;21775195;10884306;21776798;14477988;298033;97151;194487;151953;579739;346549;457021;298867
6585;21797414;10895415;21799019;14488374;298082;97167;194528;151979;579924;346656;456992;298871
6586;21800445;10896930;21802051;14489875;298131;97183;194569;152017;580124;346781;457169;299039
6587;21819114;10906264;21820720;14500612;298180;97199;194610;152043;580040;346718;456972;298893
6588;21755539;10874476;21757202;14508520;298229;97215;194651;152032;580806;347160;456857;298760
6589;21750710;10872061;21752371;14504850;298278;97231;194692;152097;581005;347281;457203;299031
6590;21762011;10877711;21763671;14512582;298327;97247;194733;152119;581510;347582;457640;299294
6591;21772292;10882851;21773953;14522374;298376;97263;194774;152132;581119;347353;457553;299243
6592;21779255;10886332;21780916;14525843;298425;97279;194815;152114;581160;347370;457282;299038
6593;21791402;10892405;21793063;14534538;298474;97295;194856;152123;581113;347326;457566;299247
