n;b1_a;b1_c;b2_a;b2_c
524;1198;338;1217;1385;
525;1184;330;1219;1391;
526;1172;325;1196;1383;
527;1190;332;1186;1376;
528;1162;317;1206;1386;
529;1222;350;1230;1398;
530;1211;341;1217;1397;
531;1169;319;1212;1397;
532;1204;340;1187;1383;
533;1231;352;1191;1388;
534;1238;352;1189;1385;
535;1218;342;1215;1403;
536;1224;345;1217;1406;
537;1234;356;1245;1422;
538;1207;336;1228;1414;
539;1202;336;1235;1419;
540;1229;345;1212;1408;
541;1228;346;1269;1433;
542;1284;378;1221;1415;
543;1182;322;1215;1413;
544;1244;350;1250;1430;
545;1284;375;1248;1435;
546;1216;335;1260;1440;
547;1218;339;1201;1412;
548;1240;350;1242;1436;
549;1266;364;1265;1448;
550;1262;362;1259;1449;
551;1268;363;1221;1429;
552;1243;348;1269;1455;
553;1273;363;1257;1451;
554;1287;371;1287;1468;
555;1284;368;1290;1469;
556;1289;371;1290;1470;
557;1298;377;1277;1466;
558;1256;351;1283;1473;
559;1283;366;1289;1477;
560;1281;364;1238;1453;
561;1299;378;1261;1465;
562;1276;362;1231;1451;
563;1298;371;1281;1477;
564;1289;371;1300;1490;
565;1258;350;1282;1482;
566;1323;385;1281;1480;
567;1303;372;1307;1496;
568;1345;392;1261;1476;
569;1304;371;1293;1491;
570;1302;370;1282;1487;
571;1321;380;1283;1493;
572;1292;363;1309;1506;
573;1314;375;1319;1512;
574;1373;410;1338;1524;
575;1354;394;1310;1508;
576;1312;368;1350;1532;
577;1362;399;1281;1500;
578;1344;391;1298;1512;
579;1369;399;1316;1520;
580;1333;378;1341;1533;
581;1352;394;1366;1548;
582;1343;388;1333;1529;
583;1409;424;1311;1523;
584;1436;434;1336;1537;
585;1337;376;1295;1516;
586;1373;405;1337;1540;
587;1365;396;1342;1545;
588;1364;391;1336;1543;
589;1363;392;1298;1525;
590;1369;397;1377;1565;
591;1362;390;1338;1547;
592;1380;398;1397;1580;
593;1373;395;1335;1549;
594;1392;408;1377;1570;
595;1367;386;1369;1569;
596;1370;393;1380;1578;
597;1384;399;1399;1585;
598;1366;392;1428;1603;
599;1434;429;1376;1578;
600;1369;389;1365;1575;
601;1363;381;1375;1581;
602;1421;416;1375;1584;
603;1428;421;1336;1565;
604;1415;413;1354;1576;
605;1396;400;1368;1582;
606;1436;424;1387;1596;
607;1357;381;1381;1595;
608;1411;410;1338;1574;
609;1395;402;1430;1618;
610;1423;415;1368;1593;
611;1411;411;1406;1613;
612;1362;380;1408;1616;
613;1404;399;1356;1592;
614;1456;436;1362;1595;
615;1450;424;1457;1644;
616;1431;415;1373;1607;
617;1478;435;1377;1606;
618;1439;419;1415;1627;
619;1440;414;1400;1619;
620;1449;418;1416;1630;
621;1462;431;1411;1631;
622;1430;408;1435;1643;
623;1391;388;1449;1652;
624;1489;440;1417;1638;
625;1449;419;1434;1649;
626;1475;431;1452;1659;
627;1461;425;1458;1663;
628;1473;426;1450;1660;
629;1498;441;1424;1651;
630;1452;411;1448;1661;
631;1432;407;1483;1682;
632;1455;418;1413;1645;
633;1465;425;1480;1682;
634;1535;461;1432;1661;
635;1478;430;1449;1668;
636;1515;447;1422;1658;
637;1501;443;1514;1706;
638;1490;437;1439;1669;
639;1502;440;1436;1669;
640;1464;412;1460;1682;
641;1472;423;1487;1696;
642;1500;445;1496;1703;
643;1470;422;1450;1683;
644;1501;436;1489;1702;
645;1503;436;1446;1685;
646;1542;457;1487;1704;
647;1507;439;1446;1687;
648;1526;449;1468;1697;
649;1520;449;1524;1729;
650;1545;454;1445;1690;
651;1553;456;1473;1704;
652;1553;462;1524;1732;
653;1518;439;1502;1723;
654;1553;465;1446;1697;
655;1508;434;1428;1690;
656;1515;431;1510;1731;
657;1600;485;1479;1719;
658;1526;440;1516;1738;
659;1606;491;1411;1687;
660;1558;460;1483;1727;
661;1551;454;1556;1760;
662;1523;436;1524;1747;
663;1513;425;1484;1727;
664;1560;463;1566;1771;
665;1569;463;1536;1759;
666;1494;417;1536;1758;
667;1507;428;1516;1752;
668;1512;430;1482;1735;
669;1571;459;1541;1767;
670;1578;466;1539;1769;
671;1576;462;1518;1759;
672;1555;448;1528;1766;
673;1560;445;1541;1773;
674;1523;426;1545;1777;
675;1616;483;1547;1779;
676;1623;486;1561;1787;
677;1555;444;1570;1795;
678;1618;479;1553;1785;
679;1585;470;1611;1816;
680;1593;466;1578;1801;
681;1583;459;1574;1799;
682;1582;452;1530;1783;
683;1572;446;1550;1794;
684;1608;468;1548;1794;
685;1665;512;1543;1791;
686;1617;477;1541;1794;
687;1579;447;1555;1801;
688;1581;452;1606;1828;
689;1590;454;1540;1794;
690;1632;481;1608;1830;
691;1593;457;1578;1818;
692;1573;445;1606;1835;
693;1623;472;1582;1824;
694;1605;469;1586;1826;
695;1615;467;1606;1841;
696;1655;488;1624;1848;
697;1655;492;1627;1853;
698;1664;497;1575;1828;
699;1615;466;1571;1829;
700;1648;484;1595;1840;
701;1643;484;1632;1861;
702;1604;458;1587;1841;
703;1692;507;1587;1838;
704;1638;476;1611;1851;
705;1661;485;1599;1848;
706;1670;495;1634;1869;
707;1673;496;1632;1870;
708;1652;482;1626;1866;
709;1662;490;1579;1846;
710;1647;480;1659;1886;
711;1733;530;1597;1858;
