n;b1_a;b1_c;b2_a;b2_c
4866;11306;3281;11099;12841;
4867;11334;3293;11040;12810;
4868;11369;3331;11033;12807;
4869;11536;3388;11047;12818;
4870;11159;3171;11119;12855;
4871;11341;3289;11111;12855;
4872;11314;3282;11035;12818;
4873;11426;3338;10998;12798;
4874;11447;3355;11034;12818;
4875;11397;3306;11083;12843;
4876;11460;3364;11085;12848;
4877;11379;3313;11046;12829;
4878;11408;3330;11028;12824;
4879;11387;3323;11052;12836;
4880;11360;3296;11040;12832;
4881;11360;3287;11169;12893;
4882;11510;3383;11054;12839;
4883;11526;3380;11065;12847;
4884;11569;3407;11142;12888;
4885;11401;3324;11084;12861;
4886;11463;3360;11131;12887;
4887;11180;3189;11031;12837;
4888;11395;3318;11066;12854;
4889;11432;3335;11005;12828;
4890;11542;3413;11105;12880;
4891;11383;3326;11136;12893;
4892;11372;3285;11211;12935;
4893;11472;3363;11092;12875;
4894;11555;3401;10973;12817;
4895;11497;3375;11086;12874;
4896;11417;3325;11142;12905;
4897;11318;3241;10967;12820;
4898;11474;3370;11134;12904;
4899;11605;3409;11088;12884;
4900;11406;3309;11032;12856;
4901;11451;3348;11161;12923;
4902;11438;3322;11148;12919;
4903;11604;3421;11112;12902;
4904;11475;3361;11095;12891;
4905;11622;3449;11202;12946;
4906;11587;3422;11257;12977;
4907;11275;3244;11142;12921;
4908;11473;3348;11181;12945;
4909;11424;3321;11096;12904;
4910;11480;3344;11216;12963;
4911;11452;3337;11068;12890;
4912;11595;3420;11101;12908;
4913;11499;3374;11272;12996;
4914;11453;3348;11191;12957;
4915;11626;3424;11016;12870;
4916;11601;3418;11219;12976;
4917;11614;3420;11032;12881;
4918;11653;3432;11161;12948;
4919;11406;3322;11223;12983;
4920;11257;3180;11243;12992;
4921;11488;3335;11150;12947;
4922;11627;3426;11245;12996;
4923;11522;3355;11320;13034;
4924;11495;3355;11010;12881;
4925;11668;3450;11269;13010;
4926;11468;3332;11166;12963;
4927;11564;3393;11229;12998;
4928;11561;3385;11211;12988;
4929;11626;3427;11125;12947;
4930;11720;3455;11226;12999;
4931;11541;3375;11157;12964;
4932;11589;3402;11207;12993;
4933;11338;3232;11132;12955;
4934;11707;3471;11172;12979;
4935;11598;3412;11124;12957;
4936;11495;3337;11169;12979;
4937;11546;3381;11114;12955;
4938;11631;3432;11189;12991;
4939;11518;3350;11240;13021;
4940;11580;3396;11367;13082;
4941;11444;3301;11160;12980;
4942;11523;3355;11137;12972;
4943;11638;3426;11208;13010;
4944;11546;3343;11292;13052;
4945;11597;3390;11259;13038;
4946;11606;3400;11198;13009;
4947;11655;3425;11241;13029;
4948;11636;3402;11211;13020;
4949;11351;3250;11295;13066;
4950;11641;3426;11319;13075;
4951;11622;3406;11212;13023;
4952;11496;3320;11325;13082;
4953;11711;3456;11354;13098;
4954;11469;3294;11235;13042;
4955;11547;3364;11211;13023;
4956;11557;3376;11255;13052;
4957;11619;3402;11288;13071;
4958;11608;3393;11244;13049;
4959;11645;3408;11188;13021;
4960;11441;3278;11256;13059;
4961;11741;3474;11186;13024;
4962;11712;3461;11267;13070;
4963;11506;3338;11353;13112;
4964;11653;3426;11388;13129;
4965;11728;3451;11313;13089;
4966;11484;3318;11175;13024;
4967;11705;3433;11366;13128;
4968;11630;3391;11354;13120;
4969;11721;3433;11198;13044;
4970;11642;3417;11245;13068;
4971;11498;3286;11222;13055;
4972;11686;3420;11319;13103;
4973;11823;3491;11321;13112;
4974;11587;3343;11246;13075;
4975;11554;3357;11277;13093;
4976;11628;3389;11357;13135;
4977;11711;3435;11238;13076;
4978;11667;3423;11291;13104;
4979;11805;3502;11351;13133;
4980;11746;3461;11409;13163;
4981;11638;3395;11330;13126;
4982;11768;3462;11312;13117;
4983;11573;3353;11410;13169;
4984;11840;3498;11347;13141;
4985;11715;3441;11317;13128;
4986;11818;3481;11309;13126;
4987;11754;3450;11279;13111;
4988;11629;3377;11166;13054;
4989;11745;3453;11256;13106;
4990;11748;3455;11194;13075;
4991;11568;3341;11230;13090;
4992;11738;3441;11272;13115;
4993;11566;3360;11431;13195;
4994;11711;3419;11302;13134;
4995;11646;3396;11330;13150;
4996;11689;3415;11430;13197;
4997;11711;3444;11434;13204;
4998;11824;3478;11404;13189;
4999;11642;3389;11325;13151;
5000;11777;3459;11301;13141;
5001;11777;3456;11350;13165;
5002;11791;3475;11276;13133;
5003;11680;3412;11340;13166;
5004;11749;3438;11367;13178;
5005;11832;3489;11468;13229;
5006;11787;3459;11367;13183;
5007;11610;3368;11377;13189;
5008;11692;3426;11367;13186;
5009;11821;3477;11361;13183;
5010;11681;3396;11333;13172;
5011;11662;3401;11401;13210;
5012;11904;3515;11280;13149;
5013;11776;3468;11304;13162;
5014;11792;3466;11399;13209;
5015;11831;3492;11323;13175;
5016;11657;3377;11493;13260;
5017;11764;3441;11415;13223;
5018;11777;3476;11506;13269;
5019;11764;3440;11348;13195;
5020;11776;3441;11248;13144;
5021;11595;3346;11419;13232;
5022;11564;3336;11320;13182;
5023;11892;3503;11485;13266;
5024;11741;3435;11352;13202;
5025;11603;3347;11293;13174;
5026;11855;3496;11436;13247;
5027;11816;3468;11407;13235;
5028;11815;3456;11389;13225;
5029;11679;3400;11425;13248;
5030;11790;3441;11393;13230;
5031;11840;3479;11393;13233;
5032;11858;3486;11314;13196;
5033;11785;3454;11388;13234;
5034;11952;3541;11424;13255;
5035;11751;3425;11507;13293;
5036;11706;3405;11369;13228;
5037;11790;3443;11629;13363;
5038;11832;3464;11394;13246;
5039;11771;3428;11392;13242;
5040;11885;3471;11393;13249;
5041;11860;3490;11444;13274;
5042;11781;3417;11458;13282;
5043;11890;3499;11558;13336;
5044;11829;3459;11572;13343;
5045;11768;3427;11479;13297;
5046;11871;3491;11440;13277;
5047;11877;3485;11453;13287;
5048;11918;3516;11510;13318;
5049;11764;3428;11345;13237;
5050;12006;3555;11532;13332;
5051;11991;3562;11601;13368;
5052;11788;3433;11508;13323;
5053;11725;3382;11483;13313;
5054;11900;3497;11520;13334;
5055;11870;3483;11446;13294;
5056;11878;3496;11453;13300;
5057;11806;3460;11471;13313;
5058;11749;3392;11432;13295;
5059;11919;3521;11453;13304;
5060;11997;3539;11436;13302;
5061;11379;3159;11539;13354;
5062;12004;3549;11498;13329;
5063;11950;3517;11442;13308;
5064;11638;3338;11520;13347;
5065;11839;3453;11588;13380;
5066;12054;3589;11570;13375;
5067;11836;3462;11608;13394;
5068;11990;3537;11538;13361;
5069;11954;3516;11541;13363;
5070;11829;3450;11479;13336;
5071;12006;3549;11533;13363;
5072;11906;3489;11360;13276;
5073;11909;3499;11499;13351;
5074;11707;3362;11511;13358;
5075;11905;3488;11485;13341;
5076;11927;3501;11493;13354;
5077;11861;3480;11532;13373;
5078;11936;3490;11608;13413;
5079;11888;3477;11615;13415;
5080;11874;3481;11499;13362;
5081;11899;3475;11536;13379;
5082;12039;3548;11609;13418;
5083;11992;3521;11473;13349;
5084;11527;3236;11548;13392;
5085;11924;3489;11557;13395;
5086;12024;3551;11498;13369;
5087;11880;3464;11524;13383;
5088;12094;3584;11617;13431;
5089;11923;3476;11563;13407;
5090;11968;3527;11568;13408;
5091;11878;3467;11572;13413;
5092;11989;3523;11648;13451;
5093;11892;3459;11488;13372;
5094;11985;3496;11562;13415;
5095;11959;3498;11628;13449;
5096;11915;3478;11389;13330;
5097;11985;3531;11473;13374;
5098;11898;3463;11526;13400;
5099;12052;3565;11503;13391;
5100;11833;3437;11555;13420;
5101;11693;3307;11540;13409;
5102;11966;3517;11593;13441;
5103;11955;3510;11532;13408;
5104;12042;3541;11616;13453;
5105;11881;3454;11655;13475;
5106;11979;3523;11528;13413;
5107;12056;3569;11614;13456;
5108;11791;3379;11483;13395;
5109;11833;3444;11641;13476;
5110;12069;3572;11547;13427;
5111;12133;3591;11638;13476;
5112;11949;3494;11610;13466;
5113;12022;3531;11677;13495;
5114;12079;3570;11625;13473;
5115;11624;3266;11706;13516;
5116;11986;3498;11522;13428;
5117;12061;3541;11654;13495;
5118;11947;3489;11465;13398;
5119;12075;3544;11629;13483;
5120;11698;3289;11583;13464;
5121;12041;3550;11476;13409;
5122;11909;3452;11635;13492;
5123;12000;3515;11622;13485;
5124;11978;3489;11630;13489;
5125;12168;3608;11651;13502;
5126;11841;3396;11645;13505;
5127;12072;3546;11669;13517;
5128;12016;3521;11710;13539;
5129;11915;3453;11646;13504;
5130;11931;3468;11666;13517;
5131;12197;3614;11714;13545;
5132;12120;3577;11618;13497;
5133;11799;3376;11674;13526;
5134;11964;3485;11569;13474;
5135;12121;3564;11638;13514;
5136;12231;3649;11702;13546;
5137;11890;3421;11712;13552;
5138;12099;3560;11522;13461;
5139;12157;3609;11618;13511;
5140;12034;3520;11582;13492;
5141;12066;3545;11769;13586;
5142;12096;3547;11571;13487;
5143;12217;3627;11747;13577;
5144;11961;3466;11743;13579;
5145;12070;3543;11702;13559;
5146;12165;3571;11689;13555;
5147;12100;3565;11665;13544;
5148;11775;3345;11765;13599;
5149;12097;3562;11566;13499;
5150;12160;3590;11701;13565;
5151;12178;3587;11772;13601;
5152;12207;3626;11705;13568;
5153;12050;3520;11645;13545;
5154;11999;3484;11679;13560;
5155;11987;3487;11771;13609;
5156;11986;3475;11714;13580;
5157;12014;3506;11868;13659;
5158;12109;3546;11817;13635;
5159;11930;3443;11785;13623;
5160;12069;3524;11624;13545;
5161;12283;3619;11699;13580;
5162;12191;3583;11747;13606;
5163;12003;3479;11550;13512;
5164;12190;3585;11619;13548;
5165;12056;3512;11738;13608;
5166;12182;3600;11531;13503;
5167;11806;3332;11746;13614;
5168;12028;3505;11745;13617;
5169;12117;3546;11764;13627;
5170;12138;3564;11719;13606;
5171;12024;3479;11694;13591;
5172;12197;3595;11625;13563;
5173;12153;3568;11853;13678;
5174;12150;3565;11638;13572;
5175;12063;3478;11855;13678;
5176;12101;3526;11762;13635;
5177;12129;3550;11773;13644;
5178;12208;3589;11675;13595;
5179;12100;3542;11720;13619;
5180;12265;3603;11737;13629;
5181;12262;3606;11817;13671;
5182;12259;3603;11725;13626;
5183;11996;3454;11627;13575;
5184;12128;3550;11838;13686;
5185;12223;3602;11802;13667;
5186;12253;3619;11726;13629;
5187;12212;3590;11831;13689;
5188;12265;3612;11742;13641;
5189;12103;3527;11733;13640;
5190;12121;3560;11650;13599;
5191;11991;3443;11759;13654;
5192;12350;3663;11856;13705;
5193;12180;3556;11751;13656;
5194;12070;3514;11830;13698;
5195;12131;3520;11827;13697;
5196;12220;3598;11748;13659;
5197;12419;3687;11809;13690;
5198;12212;3581;11785;13681;
5199;12044;3434;11726;13655;
5200;12136;3559;11862;13718;
5201;12158;3552;11880;13731;
5202;12335;3635;11823;13707;
5203;11978;3449;11823;13708;
5204;12205;3565;11841;13718;
5205;12254;3596;11822;13706;
5206;12300;3624;11863;13733;
5207;12024;3469;11867;13737;
5208;12307;3626;11880;13741;
5209;12161;3553;11723;13664;
5210;12261;3603;11837;13724;
5211;12378;3648;11846;13729;
5212;12166;3531;11888;13751;
5213;12146;3537;11830;13725;
5214;12232;3570;11856;13740;
5215;12358;3652;11763;13696;
5216;12189;3541;11878;13752;
5217;12357;3636;11839;13735;
5218;12158;3547;11749;13688;
5219;12332;3642;11825;13731;
5220;11964;3411;11758;13700;
5221;12353;3665;11756;13700;
5222;12295;3604;11925;13788;
5223;12239;3599;11813;13733;
5224;12306;3639;11862;13760;
5225;12193;3538;11943;13801;
5226;12246;3583;11973;13815;
5227;12355;3640;11857;13760;
5228;12253;3582;11812;13738;
5229;12237;3559;11914;13789;
5230;12352;3658;11865;13768;
5231;12141;3526;11854;13767;
5232;12340;3613;11916;13798;
5233;12143;3496;11796;13735;
5234;12266;3607;11800;13745;
5235;12332;3645;11855;13767;
5236;12259;3595;11773;13732;
5237;12334;3638;11823;13758;
5238;12035;3420;11784;13737;
5239;12386;3656;11856;13777;
5240;12290;3603;11864;13783;
5241;12349;3626;11927;13817;
5242;12311;3614;11793;13750;
5243;12358;3618;11906;13811;
5244;12297;3599;11863;13784;
5245;12285;3599;12010;13864;
5246;12375;3652;11811;13767;
5247;12314;3584;11890;13805;
5248;12225;3559;11899;13810;
5249;12289;3595;11883;13805;
5250;12419;3675;11893;13813;
5251;12361;3610;11990;13864;
5252;12310;3610;11806;13772;
5253;12399;3649;11937;13836;
5254;12568;3787;11922;13832;
5255;12373;3637;11960;13855;
5256;12053;3426;11779;13762;
5257;12460;3669;11934;13844;
5258;12286;3575;11895;13824;
5259;12424;3659;11996;13879;
5260;12366;3641;11916;13842;
5261;12141;3482;11979;13872;
5262;12311;3603;11866;13817;
5263;12453;3671;12016;13895;
5264;12340;3616;11902;13837;
5265;12346;3610;12015;13896;
5266;12214;3526;11877;13832;
5267;12379;3626;11880;13832;
5268;12346;3622;11982;13882;
5269;12359;3615;11851;13820;
5270;12420;3653;11925;13860;
5271;12298;3597;11898;13846;
5272;12432;3664;12007;13902;
5273;12516;3707;11909;13853;
5274;12298;3597;11920;13862;
5275;12419;3632;11982;13897;
5276;12388;3653;11955;13885;
5277;12510;3707;11899;13860;
5278;12578;3748;11985;13900;
5279;12446;3681;11986;13900;
5280;12176;3494;11933;13882;
5281;12558;3723;11853;13841;
5282;12469;3685;11951;13888;
5283;12532;3721;12048;13939;
5284;12452;3664;12071;13955;
5285;12226;3511;11907;13871;
5286;12428;3665;11897;13868;
5287;12485;3683;12048;13944;
5288;12576;3735;11842;13845;
5289;12407;3645;12046;13948;
5290;12291;3537;11928;13890;
5291;12319;3572;11992;13922;
5292;12424;3650;12003;13933;
5293;12413;3638;11967;13914;
5294;12314;3569;12073;13969;
5295;12190;3501;11998;13934;
5296;12393;3633;11965;13916;
5297;12454;3665;12028;13950;
5298;12510;3691;11875;13875;
5299;12532;3702;12071;13974;
5300;12447;3642;12104;13993;
5301;12404;3635;12159;14024;
5302;12447;3651;11955;13924;
5303;12514;3708;12100;13996;
5304;12215;3494;12029;13960;
5305;12394;3617;12066;13982;
5306;12461;3639;12006;13952;
5307;12443;3648;11903;13902;
5308;12572;3711;12062;13985;
5309;12515;3687;11983;13945;
5310;12564;3697;11972;13944;
5311;12194;3495;12010;13961;
5312;12421;3632;12116;14015;
5313;12475;3658;12100;14009;
5314;12490;3669;12058;13989;
5315;12518;3687;11963;13941;
5316;12211;3479;12028;13982;
5317;12512;3677;12014;13972;
5318;12494;3666;12045;13990;
5319;12634;3767;12044;13990;
5320;12486;3658;11991;13966;
5321;12328;3542;11941;13943;
5322;12635;3748;12062;14004;
5323;12740;3801;11964;13960;
5324;12451;3638;12064;14011;
5325;12527;3678;12221;14092;
5326;12444;3618;12189;14071;
5327;12548;3684;12068;14013;
5328;12422;3608;11948;13960;
5329;12571;3710;12065;14017;
5330;12641;3750;12098;14035;
5331;12409;3607;12102;14037;
5332;12491;3623;12097;14036;
5333;12526;3677;11980;13979;
5334;12582;3705;12015;13999;
5335;12462;3624;12221;14105;
5336;12607;3722;12093;14040;
5337;12511;3674;12154;14072;
5338;12264;3497;12104;14053;
5339;12606;3721;12053;14024;
5340;12707;3776;12150;14076;
5341;12603;3701;12204;14101;
5342;12450;3624;12213;14111;
5343;12295;3528;12167;14088;
5344;12579;3693;12099;14058;
5345;12575;3699;12204;14112;
5346;12601;3715;12054;14039;
5347;12573;3683;12231;14128;
5348;12670;3752;12090;14059;
5349;12331;3542;12199;14110;
5350;12545;3674;12151;14090;
5351;12687;3770;12336;14185;
5352;12522;3642;12094;14067;
5353;12348;3565;12073;14057;
5354;12675;3737;12175;14108;
5355;12161;3403;12172;14109;
5356;12665;3727;12042;14045;
5357;12707;3752;12074;14065;
5358;12492;3634;12250;14152;
5359;12677;3735;12174;14117;
5360;12547;3665;12177;14116;
5361;12448;3599;12156;14112;
5362;12500;3638;12272;14170;
5363;12652;3731;12160;14116;
5364;12602;3699;12248;14160;
5365;12541;3672;12062;14068;
5366;12500;3635;12085;14083;
5367;12264;3465;12179;14127;
5368;12523;3661;12317;14195;
5369;12607;3684;12047;14069;
5370;12496;3634;12002;14044;
5371;12648;3721;12283;14187;
5372;12612;3692;12251;14170;
5373;12507;3613;12205;14150;
5374;12579;3672;12153;14124;
5375;12706;3732;12115;14114;
5376;12554;3661;12138;14127;
5377;12646;3728;12267;14192;
5378;12726;3761;12259;14189;
5379;12325;3502;12205;14156;
5380;12653;3716;12161;14139;
5381;12642;3731;12256;14193;
5382;12636;3708;12116;14124;
5383;12768;3784;12196;14166;
5384;12728;3765;12288;14211;
5385;12507;3633;12245;14193;
5386;12372;3539;12055;14100;
5387;12708;3748;12223;14182;
5388;12651;3701;12185;14165;
5389;12762;3776;12231;14188;
5390;12551;3636;12180;14166;
5391;12723;3729;12301;14228;
5392;12452;3563;12205;14181;
5393;12513;3627;12267;14213;
5394;12786;3782;12293;14226;
5395;12673;3705;12232;14200;
5396;12795;3800;12228;14197;
5397;12670;3726;12180;14174;
5398;12377;3532;12268;14222;
5399;12752;3751;12193;14187;
5400;12581;3667;12224;14205;
5401;12554;3638;12276;14230;
5402;12725;3748;12183;14186;
5403;12438;3566;12215;14202;
5404;12755;3772;12248;14220;
5405;12537;3602;12518;14353;
5406;12910;3842;12264;14229;
5407;12550;3651;12264;14234;
5408;12692;3722;12359;14284;
5409;12764;3754;12328;14267;
5410;12757;3753;12214;14212;
5411;12637;3692;12295;14253;
5412;12258;3428;12211;14215;
5413;12834;3811;12247;14232;
5414;12833;3790;12220;14223;
5415;12726;3737;12346;14290;
5416;12794;3787;12239;14233;
5417;12814;3781;12283;14258;
5418;12839;3820;12147;14189;
5419;12320;3458;12178;14208;
5420;12735;3729;12214;14227;
5421;12673;3707;12339;14292;
5422;12775;3755;12355;14303;
5423;12803;3777;12382;14313;
5424;12720;3737;12470;14363;
5425;12666;3704;12288;14270;
5426;12528;3567;12313;14284;
5427;12849;3794;12266;14264;
5428;12842;3791;12254;14259;
5429;12841;3812;12325;14297;
5430;12949;3851;12273;14269;
5431;12643;3669;12243;14260;
5432;12736;3730;12423;14353;
5433;12439;3533;12338;14311;
5434;12813;3784;12336;14309;
5435;12767;3746;12369;14326;
5436;12854;3799;12381;14333;
5437;12733;3711;12334;14315;
5438;12789;3760;12358;14326;
5439;12825;3786;12378;14338;
5440;12655;3668;12346;14320;
5441;12761;3728;12262;14283;
5442;12801;3761;12477;14390;
5443;12781;3754;12449;14376;
5444;12693;3703;12389;14353;
5445;12595;3640;12366;14343;
5446;12895;3809;12314;14317;
5447;12915;3812;12391;14352;
5448;12717;3716;12355;14343;
5449;12753;3707;12240;14282;
5450;12695;3703;12211;14270;
5451;12993;3867;12457;14394;
5452;12658;3670;12366;14352;
5453;12799;3762;12443;14390;
5454;12825;3763;12512;14429;
5455;12749;3724;12313;14331;
5456;12437;3496;12449;14398;
5457;12898;3799;12294;14324;
5458;12673;3670;12349;14353;
5459;12745;3710;12503;14433;
5460;12720;3679;12346;14355;
5461;12846;3764;12323;14346;
5462;12865;3793;12324;14344;
5463;12706;3679;12347;14360;
5464;12526;3571;12252;14315;
5465;12676;3655;12407;14390;
5466;12784;3734;12520;14448;
5467;12938;3823;12354;14369;
5468;12848;3755;12276;14332;
5469;12934;3812;12469;14430;
5470;12824;3756;12376;14379;
5471;12937;3842;12301;14349;
5472;12444;3498;12281;14339;
5473;12796;3749;12493;14445;
5474;12863;3767;12594;14493;
5475;12968;3841;12352;14378;
5476;12949;3820;12399;14404;
5477;12997;3848;12396;14404;
5478;12931;3819;12417;14417;
5479;12940;3798;12481;14451;
5480;12833;3763;12464;14445;
5481;12563;3574;12496;14463;
5482;12832;3749;12456;14442;
5483;12923;3805;12491;14459;
5484;12933;3811;12472;14453;
5485;12892;3791;12499;14470;
5486;12909;3799;12493;14468;
5487;12968;3826;12434;14439;
5488;12816;3734;12393;14419;
5489;12896;3781;12388;14420;
5490;12844;3721;12408;14429;
5491;12940;3801;12413;14434;
5492;12876;3766;12491;14472;
5493;13002;3818;12508;14486;
5494;12890;3771;12395;14431;
5495;12782;3726;12403;14436;
5496;12965;3823;12449;14455;
5497;12825;3731;12437;14456;
5498;12764;3699;12346;14412;
5499;12663;3649;12369;14424;
5500;12901;3787;12591;14535;
5501;12925;3802;12455;14469;
5502;12764;3715;12558;14522;
5503;12904;3766;12515;14503;
5504;12696;3662;12548;14522;
5505;12975;3820;12514;14505;
5506;12837;3738;12458;14480;
5507;12837;3745;12480;14491;
5508;12680;3630;12451;14478;
5509;13114;3896;12494;14501;
5510;13045;3854;12522;14516;
5511;12977;3813;12572;14543;
5512;13036;3854;12451;14483;
5513;13011;3827;12457;14489;
5514;13020;3829;12466;14495;
5515;12950;3799;12591;14557;
5516;12962;3798;12356;14442;
5517;12637;3562;12492;14514;
5518;13022;3840;12589;14563;
5519;12888;3755;12711;14624;
5520;13063;3881;12453;14497;
5521;13024;3860;12583;14563;
5522;12946;3816;12419;14482;
5523;13102;3881;12590;14571;
5524;13138;3910;12488;14519;
5525;12989;3804;12458;14506;
5526;12770;3674;12560;14555;
5527;12672;3628;12477;14520;
5528;12840;3706;12517;14540;
5529;13043;3868;12462;14517;
5530;13055;3854;12485;14529;
5531;13115;3876;12564;14569;
5532;12970;3805;12691;14633;
5533;13120;3884;12420;14498;
5534;12995;3808;12518;14552;
5535;12918;3754;12565;14574;
5536;13058;3839;12544;14560;
5537;12764;3643;12444;14516;
5538;13029;3816;12505;14551;
5539;13055;3841;12586;14592;
5540;13036;3815;12467;14532;
5541;13070;3849;12562;14581;
5542;13003;3819;12659;14632;
5543;13060;3848;12579;14591;
5544;13019;3819;12566;14589;
5545;13060;3846;12552;14581;
5546;13096;3855;12582;14602;
5547;13042;3846;12550;14584;
5548;12665;3580;12590;14609;
5549;12955;3775;12711;14667;
5550;13014;3802;12560;14597;
5551;13053;3842;12463;14550;
5552;13136;3892;12585;14612;
5553;13121;3896;12522;14582;
5554;13063;3834;12473;14558;
5555;12988;3798;12574;14612;
5556;13058;3835;12515;14584;
5557;13113;3875;12656;14653;
5558;13177;3905;12402;14530;
5559;12960;3757;12641;14650;
5560;12912;3743;12542;14598;
5561;12830;3684;12701;14683;
5562;13143;3890;12635;14649;
5563;13083;3866;12637;14651;
5564;13066;3826;12657;14665;
5565;13021;3801;12796;14737;
5566;13103;3853;12657;14672;
5567;13225;3913;12570;14629;
5568;13052;3826;12670;14674;
5569;13089;3858;12606;14646;
5570;13142;3872;12574;14632;
5571;13050;3824;12671;14683;
5572;12689;3581;12491;14596;
5573;13161;3874;12611;14654;
5574;13085;3839;12686;14694;
5575;13167;3871;12700;14706;
5576;13208;3903;12646;14680;
5577;13074;3827;12574;14645;
5578;13068;3827;12635;14677;
5579;13281;3959;12557;14635;
5580;13045;3811;12724;14725;
5581;13099;3849;12675;14699;
5582;13119;3856;12586;14656;
5583;12811;3655;12718;14729;
5584;13055;3816;12725;14728;
5585;12768;3621;12706;14720;
5586;13147;3863;12626;14683;
5587;13137;3857;12548;14643;
5588;13175;3890;12659;14703;
5589;13333;3958;12752;14751;
5590;13081;3863;12764;14755;
5591;13103;3839;12829;14790;
5592;13195;3878;12708;14732;
5593;13046;3797;12692;14726;
5594;13099;3845;12641;14701;
5595;13243;3930;12707;14734;
5596;13134;3829;12694;14731;
5597;13098;3816;12752;14761;
5598;12654;3532;12662;14717;
5599;13055;3801;12697;14735;
5600;13104;3807;12715;14749;
5601;13194;3887;12689;14737;
5602;13132;3848;12716;14748;
5603;13190;3901;12651;14719;
5604;13263;3931;12615;14702;
5605;13043;3785;12800;14798;
5606;13211;3886;12803;14802;
5607;13173;3851;12685;14745;
5608;13160;3880;12643;14726;
5609;13119;3826;12634;14723;
5610;13218;3896;12749;14779;
5611;13005;3755;12743;14778;
5612;13195;3859;12856;14835;
5613;12772;3589;12793;14808;
5614;13231;3886;12775;14797;
5615;13109;3819;12727;14776;
5616;13286;3924;12725;14776;
5617;13243;3907;12780;14807;
5618;13088;3808;12739;14793;
5619;13251;3910;12627;14730;
5620;13299;3920;12723;14784;
5621;13259;3902;12722;14785;
5622;13224;3896;12776;14812;
5623;13221;3877;12860;14853;
5624;13247;3899;12751;14803;
5625;13384;3986;12780;14815;
5626;13141;3836;12789;14825;
5627;13120;3827;12741;14801;
5628;12980;3712;12659;14761;
5629;13030;3761;12793;14830;
5630;13031;3743;12807;14839;
5631;13191;3863;12755;14815;
5632;13107;3794;12796;14837;
5633;13388;3962;12843;14863;
5634;13362;3951;12787;14835;
5635;13226;3892;12684;14785;
5636;13294;3913;12963;14925;
5637;13182;3860;12686;14784;
5638;13219;3876;12891;14891;
5639;13240;3887;12683;14790;
5640;13346;3941;12674;14787;
5641;13250;3894;12782;14842;
5642;13348;3950;12725;14816;
5643;13312;3951;12614;14763;
5644;13321;3929;12729;14823;
5645;13196;3836;12696;14807;
5646;13152;3816;12754;14835;
5647;12819;3595;12789;14855;
5648;13165;3852;12774;14848;
5649;13120;3793;12845;14886;
5650;13350;3934;12854;14890;
5651;13274;3878;12734;14835;
5652;13407;3976;12819;14880;
5653;13235;3882;12783;14864;
5654;13416;3983;12771;14854;
5655;13194;3855;12885;14915;
5656;13399;3967;12817;14886;
5657;13245;3877;12989;14970;
5658;13218;3863;12822;14889;
5659;13321;3916;12800;14875;
5660;13322;3910;12838;14897;
5661;13324;3922;12795;14880;
5662;13198;3831;12772;14870;
5663;13383;3952;12898;14937;
5664;13323;3904;12938;14953;
5665;13281;3878;12843;14910;
5666;13102;3757;13020;15000;
5667;13163;3823;12754;14865;
5668;12966;3674;12819;14906;
5669;13315;3921;12869;14929;
5670;13188;3814;12943;14966;
5671;13300;3923;12892;14944;
5672;13237;3858;12877;14936;
5673;13385;3926;12867;14932;
5674;13261;3890;12748;14876;
5675;13411;3936;12893;14948;
5676;13408;3960;12877;14941;
5677;13429;3972;12809;14910;
5678;13444;3969;12974;14993;
5679;13432;3969;12907;14962;
5680;13233;3872;12747;14884;
5681;13289;3882;12855;14939;
5682;13397;3944;12842;14936;
5683;13188;3843;12803;14919;
5684;13385;3936;12830;14931;
5685;13465;3990;12810;14921;
5686;13491;3988;12955;14993;
5687;13335;3905;12913;14977;
5688;13490;4001;12905;14977;
5689;13338;3886;12925;14986;
5690;13379;3925;12908;14980;
5691;13051;3715;12913;14986;
5692;13166;3791;12906;14980;
5693;13008;3674;13074;15070;
5694;13311;3870;12861;14963;
5695;13178;3792;13063;15064;
5696;13393;3933;13056;15065;
5697;13245;3846;12936;15003;
5698;13535;4010;12921;14998;
5699;13371;3918;12830;14954;
5700;13496;3989;12888;14988;
5701;13494;3981;12985;15037;
5702;13482;3982;12973;15030;
5703;13482;3973;12912;14999;
5704;13513;4005;12926;15011;
5705;13542;4023;13012;15055;
5706;13300;3897;12942;15016;
5707;13304;3873;13019;15061;
5708;13387;3928;12805;14956;
5709;13428;3957;13050;15077;
5710;13444;3969;12949;15028;
5711;13523;3998;12884;14996;
5712;13426;3929;13053;15085;
5713;13525;4003;12901;15010;
5714;13493;3985;12957;15039;
5715;13550;4049;13046;15084;
5716;13544;3999;13003;15064;
5717;13373;3906;12929;15029;
5718;13433;3937;12989;15062;
5719;13518;4013;12942;15039;
5720;13334;3889;13032;15087;
5721;13402;3934;13063;15104;
5722;13281;3851;13053;15101;
5723;13430;3958;12903;15026;
5724;13171;3759;12940;15048;
5725;13490;3963;12940;15050;
5726;13085;3687;12903;15031;
5727;13199;3788;12995;15077;
5728;13137;3730;13051;15110;
5729;13392;3893;12970;15070;
5730;13321;3836;13143;15155;
5731;13616;4040;12999;15088;
5732;13244;3819;13012;15093;
5733;13615;4031;13095;15135;
5734;13487;3946;13056;15117;
5735;13557;4014;12969;15078;
5736;13493;3962;13014;15102;
5737;13197;3801;12962;15075;
5738;13428;3944;12927;15062;
