n;q1_a;q1_c;q2_a;q2_c
357;6387;2902;5488;6045;
358;6789;3567;6490;6507;
359;8485;3110;6030;5849;
360;7624;3489;6032;6033;
361;7136;2828;5671;6124;
362;8076;3369;6227;6240;
363;7241;3179;5593;6323;
364;7355;3320;6392;6191;
365;7718;3146;5893;5841;
366;9997;3505;6141;6025;
367;6406;3449;5829;6390;
368;7269;3032;5788;6291;
369;7165;3201;6242;6342;
370;7488;3513;6410;6556;
371;7128;3146;6136;6280;
372;7005;3728;6138;6678;
373;7730;3026;6692;6417;
374;8228;3309;5733;6037;
375;8130;3535;6305;6778;
376;8223;3253;6679;6303;
377;7825;3285;6159;6051;
378;9929;3636;6943;6923;
379;8274;3385;6644;6360;
380;8933;3257;6757;6609;
381;9299;3420;7729;6934;
382;7958;3446;6473;6329;
383;8354;3695;5972;6327;
384;9211;3727;6579;6532;
385;9077;3636;7694;7400;
386;8019;3422;7017;7109;
387;9900;3841;6043;6952;
388;7431;3331;6824;6793;
389;8245;3350;6413;6401;
390;8161;3431;6175;6574;
391;9038;3756;6617;6858;
392;7979;3744;6093;6285;
393;8193;3501;6702;6337;
394;10165;3779;7835;6986;
395;9447;4093;8203;7621;
396;8796;3457;6624;6866;
397;8285;3395;6558;6603;
398;8029;3796;6314;6583;
399;7858;3548;6364;6672;
400;7684;3611;6376;6594;
401;9713;3938;7301;6815;
402;8143;3391;7468;7074;
403;10277;3855;7358;6792;
404;8664;3664;6700;6532;
405;8471;3781;7518;7181;
406;8344;3514;6561;7282;
407;9242;4268;7402;8062;
408;7946;3425;6563;7360;
409;9523;3791;7840;7961;
410;11875;4254;6875;7205;
411;9308;4271;6222;7069;
412;7689;3847;6488;6823;
413;10466;4184;6676;7218;
414;8768;3912;7032;7204;
415;9509;3611;8116;7435;
416;9305;3831;8514;7579;
417;8928;3596;7103;6992;
418;10263;3880;7988;7382;
419;10181;4145;7539;7209;
420;9915;4211;6625;7179;
421;9279;3607;7928;7077;
422;8028;3801;7464;7498;
423;9143;3696;7973;7464;
424;8965;3624;7152;7208;
425;9251;3805;7386;7271;
426;10322;3740;6840;7310;
427;9317;4041;7287;7058;
428;7961;4100;7446;7786;
429;11317;4969;7313;7565;
430;9016;4096;8437;8056;
431;9353;3942;6994;7719;
432;9868;4000;8590;7558;
433;9127;3998;7442;7513;
434;10330;4252;7952;7379;
435;11889;4650;7835;7554;
436;10018;4046;8470;7814;
437;9339;3862;7140;7464;
438;8862;3986;7921;7578;
439;9420;3873;7317;7828;
440;11196;4180;7780;7552;
441;9111;3755;7266;7497;
442;8782;4091;7488;8032;
443;10240;4127;8294;7858;
444;8391;4198;7641;7740;
445;9964;3975;7391;7389;
446;9428;4358;7413;8310;
447;11137;4507;8486;8351;
448;9403;4084;8005;7688;
449;10999;4889;9326;8513;
450;8736;4198;8137;8727;
451;11005;4346;8263;7953;
452;9183;4089;7764;7936;
453;9380;4033;7816;8239;
454;8590;4703;7601;8277;
455;9027;4037;8373;8131;
456;9015;3933;9170;8269;
457;10577;4458;7329;8187;
458;10987;4113;8753;8736;
459;11393;4363;7699;7676;
460;10157;4986;7844;8968;
461;10944;4388;8604;8877;
462;10639;4728;9650;8911;
463;15931;5532;8821;8223;
464;11998;4656;7888;8243;
465;10179;4340;8083;7987;
466;9686;4147;8238;8323;
467;14744;5376;9838;9290;
468;12399;4583;8676;7909;
469;10747;4786;8274;8353;
470;9652;4068;8256;8113;
471;11489;4614;7905;8272;
472;10348;4757;8937;9092;
473;10336;4192;7698;8308;
474;9306;4407;8101;8323;
475;10563;4385;8698;8339;
476;10835;4538;8419;8588;
477;9776;4366;9981;9443;
478;10977;4422;7733;8090;
479;11877;4510;8228;8792;
480;10929;4344;8721;8386;
481;10803;4322;8184;8673;
482;12083;4387;8803;8414;
483;10687;4853;9607;8594;
484;10972;4503;8265;8423;
485;11759;4500;9827;8960;
486;11069;4917;9877;9095;
487;10095;4356;8410;8511;
488;9217;4266;9232;9180;
489;11628;4559;11922;10342;
490;11917;4732;9536;8857;
491;10806;4566;10037;9240;
492;12200;4720;7960;8732;
493;10343;4380;8940;8718;
494;11089;4521;9344;9659;
495;9377;4570;8791;8657;
496;12996;5088;8796;9815;
497;11057;4985;9028;8995;
498;12212;5027;8350;8591;
499;12533;4880;9417;8634;
500;12590;4855;9214;9297;
501;12102;4516;7898;8559;
502;11053;4509;8549;8868;
503;12571;4918;11073;10025;
504;11035;4962;8732;9137;
505;11891;4710;10560;9907;
506;12408;5090;8463;8608;
507;11523;4595;8435;8942;
508;9958;4726;9185;9682;
509;10973;4534;9855;9393;
510;10293;5171;9510;9357;
511;13204;5287;9841;10517;
512;12624;5690;8738;9275;
513;11254;4446;10051;9350;
514;11722;4609;8630;8864;
515;9378;4415;8174;8638;
516;11160;5056;8865;9057;
517;12853;4951;9004;9531;
518;10866;5054;8904;9879;
519;11480;4806;8570;10067;
520;13089;4879;9635;8986;
521;11139;4855;8672;9152;
522;11243;5207;11328;10156;
523;12916;4926;9125;9134;
524;15189;6259;9967;10066;
525;12165;5948;8313;9108;
526;11894;5036;10229;9891;
527;11616;4845;9320;9968;
528;11230;4945;8445;8943;
529;12360;4783;10442;9565;
530;12248;5125;10112;9723;
531;12487;5488;9512;9545;
532;11519;4919;9874;9565;
533;10705;5015;8864;9430;
534;11385;4974;9356;9294;
535;13103;5068;9527;9706;
536;11919;5037;10821;10247;
537;12902;5075;9295;9311;
538;13246;5094;9714;9641;
539;11232;5004;9316;9633;
540;13503;5015;9227;9311;
541;11343;5166;9400;10219;
542;11386;5083;9376;9340;
543;11513;5564;8584;9991;
544;13071;4937;9674;10272;
545;14052;5448;12118;10859;
546;15762;5575;10748;11003;
547;13360;5876;10376;10786;
548;11786;5049;11967;10697;
549;12375;5103;9403;9934;
550;12310;5345;9860;10056;
551;11009;4970;10012;10353;
552;13411;5284;11116;10902;
553;11795;5381;10651;10203;
554;12147;5347;10325;10073;
555;13312;5340;9881;9787;
556;12390;5028;11020;10001;
557;12847;5839;10526;10274;
558;12092;5318;9911;9831;
559;13275;5309;9967;9630;
560;11538;5409;9774;10108;
561;13895;5317;11081;10484;
562;17639;6381;10969;10624;
563;13034;5181;10041;10617;
564;15022;6234;12885;12167;
565;13993;5811;9960;10460;
566;12839;5556;9934;10224;
567;14260;5770;12729;11927;
568;12593;5306;10605;10298;
569;13600;5936;9422;10095;
570;12522;4922;10643;10633;
571;13195;5698;10274;9949;
572;13185;5609;10960;10321;
573;13458;5197;11836;10826;
574;12339;4988;10790;10253;
575;11834;5762;9631;9993;
576;14945;5679;10454;10754;
577;11724;5820;10386;10208;
578;15287;5764;12891;11365;
579;12771;5414;12463;11249;
580;15285;6621;13805;13558;
581;12775;5318;10353;10447;
582;14146;6125;10518;11419;
583;16932;6180;11912;11259;
584;12881;5902;11086;11117;
585;15016;6001;9821;11434;
586;13689;5299;11081;10871;
587;13894;5724;10342;11410;
588;15583;5854;10690;10507;
589;15402;6128;10939;12010;
590;12993;5702;10117;10692;
591;14741;6589;10367;11091;
592;12667;6478;9987;10692;
593;15838;5918;11567;12686;
594;11721;5554;10848;10903;
595;14419;6089;10833;11263;
596;13643;5370;11227;10700;
597;16920;6422;12817;12047;
598;13295;5567;10785;10457;
599;14621;5631;10964;12054;
600;12427;5742;10087;10354;
601;13072;5970;10232;12035;
602;12033;5794;11015;11570;
603;14659;6207;11406;12009;
604;15853;5904;11507;11109;
605;14022;5737;10072;10631;
606;13093;5920;12525;11828;
607;14414;5784;11501;11300;
608;12588;6399;10633;11660;
609;13271;5715;12631;12298;
610;13075;5808;11982;11035;
611;13634;6027;10289;11186;
612;12702;6064;10449;10550;
613;13719;5980;10595;12560;
614;14176;5781;11122;11430;
615;13747;6221;12197;11273;
616;16699;6120;12685;11564;
617;14078;5480;12961;11630;
618;18365;6632;13781;12413;
619;15375;6930;11520;11682;
620;15466;6125;11603;12403;
621;15238;6160;13210;12051;
622;14178;5684;13316;12071;
623;14272;6950;12005;11923;
624;15550;6433;10934;10877;
625;13065;6015;11475;11234;
