DataSize,RecursiveTime(us),MemorizedTime(us),BottomUpTime(us)
568,-1,4360,1389
569,-1,4180,1115
570,-1,4245,1162
571,-1,4162,1127
572,-1,4155,1125
573,-1,4585,1140
574,-1,4398,1130
575,-1,5320,1149
576,-1,4447,1142
577,-1,4439,1560
578,-1,4422,1157
579,-1,4444,1155
580,-1,4605,1166
581,-1,4207,1158
582,-1,4808,1414
583,-1,4503,1168
584,-1,4709,1261
585,-1,4314,1180
586,-1,4246,1183
587,-1,4767,1201
588,-1,4280,1189
589,-1,5051,1199
590,-1,4446,1202
591,-1,5011,1220
592,-1,4595,1209
593,-1,4670,1664
594,-1,4700,1219
595,-1,4419,1219
596,-1,4634,1228
597,-1,4555,1224
598,-1,5249,1240
599,-1,4647,1235
600,-1,5413,1245
601,-1,4671,1244
602,-1,5065,1646
603,-1,4758,1245
604,-1,5016,1572
605,-1,4894,1271
606,-1,4667,1671
607,-1,5126,1272
608,-1,4775,1502
609,-1,4755,1286
610,-1,4608,1276
611,-1,5130,1290
612,-1,5060,1289
613,-1,5202,1303
614,-1,4990,1298
615,-1,5312,1310
616,-1,4829,1303
617,-1,5427,1320
618,-1,6845,2278
619,-1,5454,1700
620,-1,5032,1342
621,-1,5306,1420
622,-1,4920,1333
623,-1,5361,1443
624,-1,5153,1336
625,-1,5461,1353
626,-1,4889,1347
627,-1,5671,1371
628,-1,4980,1357
629,-1,5621,1368
630,-1,5466,1370
631,-1,5566,1442
632,-1,5489,1380
633,-1,5567,1445
634,-1,5211,1383
635,-1,5697,1461
636,-1,5027,1391
637,-1,5537,1405
638,-1,5059,1396
639,-1,5812,1409
640,-1,5203,1405
641,-1,5558,1423
642,-1,5281,1423
643,-1,5578,1432
644,-1,5342,1433
645,-1,5873,1440
646,-1,5273,1438
647,-1,5786,1442
648,-1,5239,1442
649,-1,5928,1777
650,-1,5365,1449
651,-1,6168,1517
652,-1,5385,1464
653,-1,5851,1474
654,-1,5578,1475
655,-1,5794,1490
656,-1,5443,1476
657,-1,5703,1602
658,-1,5489,1484
659,-1,6432,1900
660,-1,5395,1496
661,-1,5873,1509
662,-1,5412,1893
663,-1,5642,1509
664,-1,5969,1524
665,-1,6029,1547
666,-1,6629,1535
667,-1,5646,1534
668,-1,6142,1546
669,-1,5706,1540
670,-1,5850,1544
671,-1,5691,1541
672,-1,6326,1552
673,-1,5602,1611
674,-1,5901,1565
675,-1,6110,1665
676,-1,6922,2413
677,-1,6186,1583
678,-1,6044,1574
679,-1,6362,1597
680,-1,5719,1950
681,-1,6339,1593
682,-1,6237,1606
683,-1,5966,1610
684,-1,6388,1612
685,-1,6034,1607
686,-1,6375,1622
687,-1,5833,1904
688,-1,6187,1622
689,-1,6299,1694
690,-1,6222,1634
691,-1,6647,1842
692,-1,6213,1646
693,-1,6283,1655
694,-1,6317,2033
695,-1,6037,1661
696,-1,6579,1675
697,-1,6254,1669
698,-1,6456,1677
699,-1,6424,1678
700,-1,6323,1689
701,-1,6685,1753
702,-1,6616,1686
703,-1,6490,1832
704,-1,6416,1706
705,-1,6750,1710
706,-1,6143,2155
707,-1,6443,1717
708,-1,6969,1727
709,-1,7355,1729
710,-1,7007,1736
711,-1,6489,1981
712,-1,6554,1734
713,-1,6929,2177
714,-1,6524,1755
715,-1,6681,1760
716,-1,7043,1873
717,-1,6735,1766
718,-1,6858,1774
719,-1,6609,1773
720,-1,7073,1775
721,-1,6851,1856
722,-1,6904,1790
723,-1,6923,2000
724,-1,6914,2067
725,-1,7452,1807
726,-1,7115,1813
727,-1,7785,2366
728,-1,6765,1811
729,-1,7206,1830
730,-1,6668,1829
731,-1,7140,1837
732,-1,6993,1943
733,-1,7072,1842
734,-1,7384,1853
735,-1,6675,2304
736,-1,7035,1860
737,-1,7357,1863
738,-1,7204,1918
739,-1,7108,1870
740,-1,7351,1878
741,-1,7096,1931
742,-1,7164,1890
743,-1,7402,2022
744,-1,7052,1904
745,-1,6946,2003
746,-1,7569,1913
747,-1,7094,1914
748,-1,7183,2242
749,-1,7433,1924
750,-1,7329,1920
751,-1,7493,1938
752,-1,7651,2020
753,-1,7235,1937
754,-1,7627,1961
755,-1,7171,2357
756,-1,7267,1952
757,-1,7526,1971
758,-1,7224,2343
