Sequence Size,Iterative Time (ms),Recursive Time (ms)
749,709,723
750,712,740
751,712,733
752,742,824
753,872,732
754,721,737
755,712,734
756,720,866
757,732,751
758,745,742
759,749,756
760,768,757
761,738,755
762,748,760
763,782,778
764,770,764
765,750,761
766,740,772
767,745,771
768,754,847
769,890,926
770,933,849
771,750,769
772,853,780
773,836,788
774,767,783
775,762,780
776,762,774
777,770,804
778,809,793
779,820,915
780,945,850
781,829,802
782,780,802
783,828,807
784,793,798
785,791,814
786,826,810
787,835,800
788,804,812
789,802,806
790,798,815
791,802,821
792,793,822
793,809,835
794,811,840
795,834,821
796,809,827
797,807,838
798,806,834
799,815,840
800,822,841
801,818,837
802,833,842
803,872,845
804,825,855
805,835,860
806,833,840
807,842,854
808,830,852
809,823,851
810,851,846
811,895,854
812,840,866
813,1075,1014
814,876,858
815,847,863
816,844,879
817,868,861
818,942,878
819,904,894
820,849,879
821,889,891
822,872,883
823,859,876
824,870,883
825,880,907
826,869,898
827,929,891
828,862,896
829,942,902
830,876,897
831,876,892
832,874,893
833,877,916
834,891,908
835,926,910
836,900,905
837,935,907
838,943,919
839,891,916
840,895,925
841,896,923
842,893,931
843,945,936
844,950,936
845,954,933
846,900,937
847,907,931
848,910,929
849,927,966
850,924,943
851,958,950
852,968,946
853,926,957
854,922,949
855,933,947
856,929,958
857,978,959
858,929,998
859,977,979
860,926,972
861,922,962
862,943,993
863,936,981
864,941,976
865,944,977
866,1016,981
867,959,982
868,950,1016
869,956,991
870,960,1001
871,947,990
872,952,992
873,961,1034
874,1011,998
875,978,1006
876,959,999
877,961,1001
878,958,1003
879,961,1005
880,969,1014
881,1037,1018
882,1028,1019
883,989,1070
884,982,1030
885,972,1027
886,970,1022
887,982,1046
888,997,1027
889,1056,1143
890,998,1024
891,1172,1051
892,1063,1050
893,994,1056
894,986,1048
895,999,1053
896,1079,1056
897,1034,1057
898,1079,1055
899,1019,1070
900,1014,1059
901,1015,1062
902,1082,1082
903,1087,1059
904,1026,1070
905,1017,1077
906,1023,1084
907,1017,1060
908,1117,1080
909,1027,1077
910,1100,1085
911,1050,1095
912,1032,1191
913,1037,1080
914,1031,1076
915,1027,1091
916,1026,1071
917,1120,1095
918,1051,1089
919,1039,1096
920,1064,1092
921,1115,1102
922,1040,1101
923,1442,1126
924,1213,1237
925,1057,1100
926,1058,1130
927,1056,1119
928,1075,1110
929,1152,1122
930,1156,1138
931,1163,1161
932,1078,1116
933,1067,1122
934,1077,1116
935,1075,1118
936,1173,1146
937,1160,1134
938,1171,1157
939,1083,1133
940,1186,1147
941,1122,1140
942,1107,1136
943,1174,1143
944,1130,1150
945,1207,1171
946,1107,1161
947,1189,1173
948,1106,1146
949,1117,1157
950,1111,1151
951,1114,1152
952,1204,1190
953,1112,1182
954,1118,1165
955,1129,1168
956,1286,1162
957,1126,1206
958,1143,1228
959,1232,1209
960,1138,1177
961,1132,1208
962,1236,1198
963,1145,1189
964,1142,1204
965,1234,1220
966,1144,1197
967,1177,1201
968,1375,1269
969,1246,1225
970,1167,1198
971,1188,1211
972,1250,1454
973,1245,1671
974,1646,1659
975,1934,2082
976,1470,1251
977,1204,1248
978,1303,1273
979,1201,1256
980,1197,1989
981,2405,1684
982,1231,1250
983,1304,1290
984,1286,1365
985,1621,1458
986,1351,1261
987,1225,1277
988,1230,1267
989,1231,1274
990,2525,2918
991,2359,1898
992,1465,1442
993,1489,1387
994,1290,1446
995,1323,1369
996,1475,1382
997,1303,1356
998,1415,1427
999,1328,1353
1000,1299,1377
1001,1510,1371
1002,1321,1388
1003,1310,1471
1004,1666,1421
1005,1437,1403
1006,1326,1705
1007,1339,1393
1008,1334,1379
1009,1389,1418
1010,1701,1469
1011,1447,1414
1012,1465,1419
1013,1475,1432
1014,1347,1420
1015,1348,1412
1016,1386,1810
1017,1477,1437
1018,1398,1423
1019,1409,1439
1020,1390,1481
1021,1371,1445
1022,1734,1431
1023,1501,1445
1024,1387,1443
1025,1384,1425
1026,1418,1428
1027,1527,1492
1028,1839,1445
1029,1527,1530
1030,1465,1449
1031,1385,1449
1032,1400,1471
1033,1433,1680
1034,1409,1458
1035,1649,1753
1036,1423,1453
1037,1418,1450
1038,1438,1539
1039,1438,1535
1040,1424,1850
1041,1602,1548
1042,1474,1481
1043,1455,1520
1044,1446,1713
1045,1435,1477
1046,1465,1539
1047,1574,1516
1048,1436,1507
1049,1468,1514
1050,1445,1511
1051,1583,1575
1052,2022,1594
1053,1865,1572
1054,1506,1543
1055,1597,1581
1056,1625,1578
1057,1716,1529
1058,1476,1666
1059,1630,1577
1060,1498,1547
1061,1501,1601
1062,1542,1555
1063,1486,1575
1064,1572,1679
1065,1652,1652
1066,1896,1823
1067,1533,1580
1068,1519,1568
1069,1526,2061
1070,1586,1577
1071,1649,1590
1072,1679,1618
1073,1529,1586
1074,1805,1644
1075,1591,1608
1076,1763,1591
1077,1694,1636
1078,1536,1586
1079,1555,1625
1080,1613,1684
1081,1600,1595
1082,1619,1755
1083,1675,1646
1084,1685,1691
1085,1847,1618
1086,1554,1602
1087,1986,1637
1088,1708,1673
1089,1708,1700
1090,1586,1642
1091,1633,1883
1092,1638,1637
1093,1657,1645
1094,1734,1962
1095,1719,1694
1096,1583,1652
1097,1735,1713
1098,1625,1654
1099,2037,1681
1100,1775,1752
1101,1768,1730
1102,1628,1677
1103,1648,2192
1104,1623,1677
1105,1627,1654
1106,1786,1746
1107,1615,1968
1108,1635,1767
1109,2146,1749
1110,1677,1717
1111,1798,1746
1112,1649,1685
1113,1676,1707
